"Začiatok vykazovania","Koniec vykazovania","Názov kampane","Doručenie kampane","Nastavenie pričítania",Výsledky,"Výsledky [1-day view all conversions]","Výsledky [1-day click all conversions]","Výsledky [7-day click all conversions]","Result indicator",Dosah,Frekvencia,"Cena za výsledky","Cena za výsledky [1-day view all conversions]","Cena za výsledky [1-day click all conversions]","Cena za výsledky [7-day click all conversions]","Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)",Koniec,Impresie,"CPM (cena za 1000 impresií) (EUR)","Kliknutia na odkaz",shop_clicks,"CPC (cena za kliknutie na odkaz) (EUR)","CTR (miera prekliknutia odkazu)","Kliknutia (všetky)","CTR (všetko)","CPC (all) (EUR)","Pozretia cieľovej stránky","Pozretia cieľovej stránky [1-day view]","Pozretia cieľovej stránky [1-day click]","Pozretia cieľovej stránky [7-day click]","Cena za pozretie cieľovej stránky (EUR)",cost_per_action_type_1d_view_all_conversions:omni_landing_page_view,cost_per_action_type_1d_click_all_conversions:omni_landing_page_view,cost_per_action_type_7d_click_all_conversions:omni_landing_page_view,"Hodnota konverzie nákupov na webe","Hodnota konverzie nákupov na webe [1-day view]","Hodnota konverzie nákupov na webe [1-day click]","Hodnota konverzie nákupov na webe [7-day click]",Nákupy,"Nákupy [1-day view]","Nákupy [1-day click]","Nákupy [7-day click]","Purchases conversion value","Purchases conversion value [1-day view]","Purchases conversion value [1-day click]","Purchases conversion value [7-day click]","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-01,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,2026-08-01,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,,3,4,actions:offsite_conversion.fb_pixel_purchase,3234,1.694805,9.3975,,12.53,9.3975,"Using ad set budget",0,37.59,Prebieha,5481,6.858238,114,,0.329737,2.079912,237,4.324028,0.158608,64,,,,0.587344,,,,369.79,,324.9,369.79,4,,3,4,369.79,,324.9,369.79,,
2026-08-01,2026-08-01,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,2026-08-01,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,2026-08-01,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,2026-08-01,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,2026-07-31,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,2026-07-31,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,3,1,1,actions:offsite_conversion.fb_pixel_purchase,3673,1.436428,8.035,,32.14,32.14,"Using ad set budget",0,32.14,Prebieha,5276,6.091736,117,,0.274701,2.217589,315,5.970432,0.102032,66,,,,0.48697,,,,218.32,168.43,49.89,49.89,4,3,1,1,218.32,168.43,49.89,49.89,,
2026-07-31,2026-07-31,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,2026-07-31,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,2026-07-31,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,2026-07-31,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,2026-07-30,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,2026-07-30,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",2,1,,1,actions:offsite_conversion.fb_pixel_purchase,3250,1.656923,13.605,,,27.21,"Using ad set budget",0,27.21,Prebieha,5385,5.052925,79,,0.34443,1.467038,237,4.401114,0.11481,47,,,,0.578936,,,,94.78,44.89,,49.89,2,1,,1,94.78,44.89,,49.89,,
2026-07-30,2026-07-30,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,2026-07-30,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,2026-07-30,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,2026-07-30,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-29,2026-07-29,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-29,2026-07-29,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",,,,,,2925,1.708034,,,,,"Using ad set budget",0,29.31,Prebieha,4996,5.866693,65,,0.450923,1.301041,191,3.823058,0.153456,40,,,,0.73275,,,,,,,,,,,,,,,,,
2026-07-29,2026-07-29,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-29,2026-07-29,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-29,2026-07-29,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-29,2026-07-29,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-28,2026-07-28,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-28,2026-07-28,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",3,2,1,1,actions:offsite_conversion.fb_pixel_purchase,2874,2.044885,12.16333333,,36.49,36.49,"Using ad set budget",0,36.49,Prebieha,5877,6.20895,113,,0.32292,1.92275,235,3.998639,0.155277,67,,,,0.544627,,,,226.41,176.52,49.89,49.89,3,2,1,1,226.41,176.52,49.89,49.89,,
