"Začiatok vykazovania","Koniec vykazovania","Názov kampane","Doručenie kampane","Nastavenie pričítania",Výsledky,"Result indicator",Dosah,Frekvencia,"Cena za výsledky","Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)",Koniec,Impresie,"CPM (cena za 1000 impresií) (EUR)","Kliknutia na odkaz",shop_clicks,"CPC (cena za kliknutie na odkaz) (EUR)","CTR (miera prekliknutia odkazu)","Kliknutia (všetky)","CTR (všetko)","CPC (all) (EUR)","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Results (initial)","Results (initial) indicator"
2026-07-07,2026-07-07,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-07,2026-07-07,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-06,2026-07-06,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-06,2026-07-06,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,3276,1.975275,6.4825,"Using ad set budget",0,25.93,Prebieha,6471,4.007109,51,,0.508431,0.788132,108,1.668985,0.240093,40,0.64825,,
2026-07-06,2026-07-06,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-06,2026-07-06,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-06,2026-07-06,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-06,2026-07-06,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-05,2026-07-05,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-05,2026-07-05,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,2029,1.789059,5.51333333,"Using ad set budget",0,16.54,Prebieha,3630,4.556474,40,,0.4135,1.101928,76,2.093664,0.217632,29,0.570345,,
2026-07-05,2026-07-05,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-05,2026-07-05,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-05,2026-07-05,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-05,2026-07-05,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-04,2026-07-04,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-04,2026-07-04,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,1528,1.782068,3.2525,"Using ad set budget",0,13.01,Prebieha,2723,4.777819,36,,0.361389,1.322071,76,2.791039,0.171184,26,0.500385,,
2026-07-04,2026-07-04,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-04,2026-07-04,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-04,2026-07-04,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-04,2026-07-04,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-03,2026-07-03,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-03,2026-07-03,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,1997,1.964947,20.13,"Using ad set budget",0,20.13,Prebieha,3924,5.129969,35,,0.575143,0.891947,81,2.06422,0.248519,29,0.694138,,
2026-07-03,2026-07-03,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-03,2026-07-03,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-03,2026-07-03,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-03,2026-07-03,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-02,2026-07-02,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-02,2026-07-02,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,2507,2.034304,26.75,"Using ad set budget",0,26.75,Prebieha,5100,5.245098,72,,0.371528,1.411765,188,3.686275,0.142287,47,0.569149,,
2026-07-02,2026-07-02,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-02,2026-07-02,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-02,2026-07-02,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-02,2026-07-02,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-01,2026-07-01,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-01,2026-07-01,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,4710,1.796178,14.46333333,"Using ad set budget",0,43.39,Prebieha,8460,5.128842,98,,0.442755,1.158392,268,3.167849,0.161903,54,0.803519,,
2026-07-01,2026-07-01,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-01,2026-07-01,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-01,2026-07-01,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-01,2026-07-01,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-06-30,2026-06-30,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-06-30,2026-06-30,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,4740,1.660549,43.06,"Using ad set budget",0,43.06,Prebieha,7871,5.470715,158,,0.272532,2.007369,421,5.348749,0.10228,84,0.512619,,
2026-06-30,2026-06-30,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-06-30,2026-06-30,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-06-30,2026-06-30,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-06-30,2026-06-30,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
